"TYPE_NAME","MIX_TYPE","INGR_CODE","INGR_ENG_NAME","INGR_NAME","MIX_INGR","FORM_NAME","ITEM_SEQ","ITEM_NAME","ITEM_PERMIT_DATE","ENTP_NAME","CHART","CLASS_CODE","CLASS_NAME","ETC_OTC_NAME","MAIN_INGR","NOTIFICATION_DATE","PROHBT_CONTENT","REMARK","INGR_ENG_NAME_FULL","STD_CD"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201502295","쎄렉시브캡슐200mg(세레콕시브)","20150415","영일제약(주)","흰색 내지 미황색의 분말이 충진된 상하 황색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806494048106,8806494048113,8806494048120"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201502333","콕스그린캡슐200밀리그램(세레콕시브)","20150416","(주)킵스바이오파마","흰색 내지 미황색의 분말이 충진된 상하 황색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806932015103,8806932015110,8806932015127"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201502348","세렉캡슐(세레콕시브)","20150417","(주)마더스제약","흰색 내지 연노랑색의 분말이 충전된 상하 황색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806228024000,8806228024017,8806228024024"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201502397","셀레록스캡슐200mg(세레콕시브)","20150422","(주)비보존제약","흰색 내지 미황색 가루가 충전된 상하 황색줄이 있는 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806582027600,8806582027617,8806582027624,8806582027631"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201503251","쎄레젠캡슐200mg(세레콕시브)","20150528","(주)셀릭스","흰색 내지 미황색의 분말이 충전된 상하 황색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806462038108,8806462038115,8806462038122"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201504160","크리콕스캡슐100밀리그램(세레콕시브)","20150626","삼진제약(주)","흰색 내지 미황색의 분말이 충전된 상하 푸른색줄이 있는 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806478042601,8806478042618,8806478042625"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201504176","뉴브렉스캡슐200mg(세레콕시브)","20150629","화일약품(주)","흰색 내지 미황색의 분말이 든 흰색의 불투명한 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806845011902,8806845011919,8806845011926"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201505202","셀코브렉스캡슐200mg(세레콕시브)","20150731","알리코제약(주)","흰색 내지 미황색의 분말이 든 상·하 황색줄이 있는 흰색의 불투명한 경질캡슐","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806560039205,8806560039212,8806560039229"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201506677","쎄레브렉스캡슐400밀리그램(세레콕시브)","20150922","비아트리스코리아(주)","흰색 내지 회백색의 분말이 충진된 상하 녹색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8800734003009,8800734003016,8806489028809,8806489028816"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201507452","쎄레노직캡슐100밀리그램(세레콕시브)","20151029","(주)대웅제약","흰색 내지 연노란색의 가루가 충전된 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806416061800,8806416061817,8806416061824,8806416061831"
